station_name,station_id,lat,lng
FDR Drive & E 35 St,6230.04,40.744219,-73.971212
FDR Drive & E 35 St,6230.04,40.744219,-73.97121214
FDR Drive & E 35 St,6230.04,40.751581,-73.97791
Allen St & Stanton St,5484.09,40.722055,-73.989111
9 Ave & W 45 St,6717.06,40.76019252,-73.9912551
9 Ave & W 45 St,6717.06,40.760192,-73.991255
9 Ave & W 45 St,6717.06,40.760193,-73.991255
Allen St & Rivington St,5414.06,40.720196,-73.989978
Allen St & Rivington St,5414.06,40.720195,-73.989978
Allen St & Rivington St,5414.06,40.72019576,-73.98997825
W 20 St & 7 Ave,6182.02,40.742387,-73.997262
W 20 St & 7 Ave,6182.02,40.742388,-73.997262
W 20 St & 7 Ave,6182.02,40.74238787,-73.99726235
W 31 St & 7 Ave,6331.01,40.749156,-73.9916
W 15 St & 6 Ave,5989.02,40.738046,-73.99643
W 15 St & 6 Ave,5989.02,40.738046,-73.996429
W 15 St & 6 Ave,5989.02,40.738046142482766,-73.99642959237099
S 5 Pl & S 5 St,5125.03,40.710451,-73.960876
S 4 St & Wythe Ave,5204.05,40.712858,-73.965902
S 4 St & Wythe Ave,5204.05,40.71285887,-73.96590294
S 4 St & Wythe Ave,5204.05,40.712859,-73.965903
Great Jones St,5636.11,40.727434,-73.99379
Great Jones St,5636.11,40.72743423,-73.99379025
E 13 St & 2 Ave,5820.08,40.73153937464073,-73.9853024482727
E 13 St & 2 Ave,5820.08,40.731539,-73.985302
W 18 St & 6 Ave,6064.08,40.73971301,-73.99456405
W 18 St & 6 Ave,6064.08,40.739713,-73.994564
Allen St & Hester St,5342.10,40.71605866,-73.99190759
Allen St & Hester St,5342.1,40.716058,-73.991907
Allen St & Hester St,5342.10,40.716059,-73.991908
W 20 St & 10 Ave,6306.01,40.745686,-74.005141
Little West St & 1 Pl,5001.08,40.70569254,-74.01677685
Little West St & 1 Pl,5001.08,40.705693,-74.016777
Little West St & 1 Pl,5001.08,40.705692,-74.016776
Broadway & W 29 St,6289.06,40.7462,-73.988557
Broadway & W 29 St,6289.06,40.746201,-73.988557
Broadway & W 29 St,6289.06,40.7462009,-73.98855723
Broadway & W 41 St,6560.01,40.755135,-73.98658
Broadway & W 41 St,6560.01,40.75513557,-73.98658032
Broadway & W 41 St,6560.01,40.755136,-73.98658
E 16 St & 5 Ave,6022.04,40.73726186,-73.99238967
E 16 St & 5 Ave,6022.04,40.737262,-73.99239
E 16 St & 5 Ave,6022.04,40.737261,-73.992389
Vesey Pl & River Terrace,5297.02,40.7153379,-74.01658354
Vesey Pl & River Terrace,5297.02,40.715337,-74.016583
Vesey Pl & River Terrace,5297.02,40.715338,-74.016584
Central Park North & Adam Clayton Powell Blvd,7617.07,40.799484,-73.955613
E 11 St & 1 Ave,5746.14,40.729538,-73.984267
E 11 St & 1 Ave,5746.14,40.72953837,-73.98426726
W 25 St & 6 Ave,6215.04,40.743954,-73.991449
W 25 St & 6 Ave,6215.04,40.743954,-73.991448
W 25 St & 6 Ave,6215.04,40.74395411,-73.99144871
Metropolitan Ave & Bedford Ave,5308.04,40.715348,-73.960241
Metropolitan Ave & Bedford Ave,5308.04,40.71534825,-73.96024116
West End Ave & W 60 St,7059.08,40.77237,-73.99005
E 15 St & 3 Ave,5863.07,40.734232,-73.986923
E 58 St & 3 Ave,6762.02,40.76095756,-73.96724467
E 58 St & 3 Ave,6762.02,40.760957,-73.967244
E 58 St & 3 Ave,6762.02,40.760958,-73.967245
W 15 St & 7 Ave,6030.06,40.73935542,-73.99931783
